President,Date,Approve,X.1
Bush,01 Feb 1-4,57,Feb 2001
Bush,01 Feb 9-11,57,Feb 2001
Bush,01 Feb 19-21,62,Feb 2001
Bush,01 Mar 5-7,63,Mar 2001
Bush,01 Mar 9-11,58,Mar 2001
Bush,01 Mar 26-28,53,Mar 2001
Bush,01 Apr 6-8,59,Apr 2001
Bush,01 Apr 20-22,62,Apr 2001
Bush,01 May 7-9,53,May 2001
Bush,01 May 10-14,56,May 2001
Bush,01 May 18-20,56,May 2001
Bush,01 Jun 8-10,55,Jun 2001
Bush,01 Jun 11-17,55,Jun 2001
Bush,01 Jun 28-Jul 1,52,Jun 2001
Bush,01 Jul 10-11,57,Jul 2001
Bush,01 Jul 19-22,56,Jul 2001
Bush,01 Aug 3-5,55,Aug 2001
Bush,01 Aug 10-12,57,Aug 2001
Bush,01 Aug 16-19,57,Aug 2001
Bush,01 Aug 24-26,55,Aug 2001
Bush,01 Sep 7-10,51,Sep 2001
Bush,01 Sep 14-15,86,Sep 2001
Bush,01 Sep 21-22,90,Sep 2001
Bush,01 Oct 5-6,87,Oct 2001
Bush,01 Oct 11-14,89,Oct 2001
Bush,01 Oct 19-21,88,Oct 2001
Bush,01 Nov 2-4,87,Nov 2001
Bush,01 Nov 8-11,87,Nov 2001
Bush,01 Nov 26-27,87,Nov 2001
Bush,01 Dec 6-9,86,Dec 2001
Bush,01 Dec 14-16,86,Dec 2001
Bush,02 Jan 7-9,84,Jan 2002
Bush,02 Jan 11-14,83,Jan 2002
Bush,02 Jan 25-27,84,Jan 2002
Bush,02 Feb 4-6,82,Feb 2002
Bush,02 Feb 8-10,82,Feb 2002
Bush,02 Mar 1-3,81,Mar 2002
Bush,02 Mar 4-7,77,Mar 2002
Bush,02 Mar 8-9,80,Mar 2002
Bush,02 Mar 18-20,79,Mar 2002
Bush,02 Mar 22-24,79,Mar 2002
Bush,02 Apr 5-7,76,Apr 2002
Bush,02 Apr 8-11,75,Apr 2002
Bush,02 Apr 22-24,77,Apr 2002
Bush,02 Apr 29-May 1,77,Apr 2002
Bush,02 May 6-9,76,May 2002
Bush,02 May 20-22,76,May 2002
Bush,02 May 28-29,77,May 2002
Bush,02 Jun 3-6,70,Jun 2002
Bush,02 Jun 7-8,74,Jun 2002
Bush,02 Jun 17-19,74,Jun 2002
Bush,02 Jun 21-23,73,Jun 2002
Bush,02 Jun 28-30,76,Jun 2002
Bush,02 Jul 5-8,76,Jul 2002
Bush,02 Jul 9-11,73,Jul 2002
Bush,02 Jul 22-24,69,Jul 2002
Bush,02 Jul 26-28,69,Jul 2002
Bush,02 Jul 29-31,71,Jul 2002
Bush,02 Aug 5-8,68,Aug 2002
Bush,02 Aug 19-21,65,Aug 2002
Bush,02 Sep 2-4,66,Sep 2002
Bush,02 Sep 5-8,66,Sep 2002
Bush,02 Sep 13-16,70,Sep 2002
Bush,02 Sep 20-22,66,Sep 2002
Bush,02 Sep 23-26,68,Sep 2002
Bush,02 Oct 3-6,67,Oct 2002
Bush,02 Oct 14-17,62,Oct 2002
Bush,02 Oct 21-22,67,Oct 2002
Bush,02 Oct 31-Nov 3,63,Oct 2002
Bush,02 Nov 8-10,68,Nov 2002
Bush,02 Nov 11-14,66,Nov 2002
Bush,02 Nov 22-24,65,Nov 2002
Bush,02 Dec 5-8,64,Dec 2002
Bush,02 Dec 9-10,63,Dec 2002
Bush,02 Dec 16-17,63,Dec 2002
Bush,02 Dec 19-22,61,Dec 2002
Bush,03 Jan 3-5,63,Jan 2003
Bush,03 Jan 10-12,58,Jan 2003
Bush,03 Jan 13-16,61,Jan 2003
Bush,03 Jan 20-22,58,Jan 2003
Bush,03 Jan 23-25,60,Jan 2003
Bush,03 Jan 31-Feb 2,61,Jan 2003
Bush ,03 Feb 3-6,59,Feb 2003
Bush,03 Feb 7-9,61,Feb 2003
Bush,03 Feb 17-19,58,Feb 2003
Bush,03 Feb 24-26,57,Feb 2003
Bush,03 Mar 3-5,57,Mar 2003
Bush,03 Mar 14-15,58,Mar 2003
Bush,03 Mar 22-23,71,Mar 2003
Bush,03 Mar 24-25,69,Mar 2003
Bush,03 Mar 29-30,71,Mar 2003
Bush,03 Apr 5-6,70,Apr 2003
Bush,03 Apr 7-9,69,Apr 2003
Bush,03 Apr 14-16,71,Apr 2003
Bush,03 Apr 22-23,70,Apr 2003
Bush,03 May 5-7,69,May 2003
Bush,03 May 19-21,66,May 2003
Bush,03 May 30-Jun 1,64,May 2003
Bush,03 Jun 9-10,62,Jun 2003
Bush,03 Jun 12-15,63,Jun 2003
Bush,03 Jun 27-29,61,Jun 2003
Bush,03 Jul 7-9,62,Jul 2003
Bush,03 Jul 18-20,59,Jul 2003
Bush,03 Jul 25-27,58,Jul 2003
Bush,03 Aug 4-6,60,Aug 2003
Bush,03 Aug 25-26,59,Aug 2003
Bush,03 Sep 8-10,52,Sep 2003
Bush,03 Sep 19-21,50,Sep 2003
Bush,03 Oct 6-8,55,Oct 2003
Bush,03 Oct 10-12,56,Oct 2003
Bush,03 Oct 24-26,53,Oct 2003
Bush,03 Nov 3-5,54,Nov 2003
Bush,03 Nov 10-12,51,Nov 2003
Bush,03 Nov 14-16,50,Nov 2003
Bush,03 Dec 5-7,55,Dec 2003
Bush,03 Dec 11-14,56,Dec 2003
Bush,03 Dec 15-16,63,Dec 2003
Bush,04 Jan 2-5,60,Jan 2004
Bush,04 Jan 9-11,59,Jan 2004
Bush,04 Jan 12-15,53,Jan 2004
Bush,04 Jan 29-Feb 1,49,Jan 2004
Bush,04 Feb 6-8,52,Feb 2004
Bush,04 Feb 9-12,51,Feb 2004
Bush,04 Feb 16-17,51,Feb 2004
Bush,04 Mar 5-7,49,Mar 2004
Bush,04 Mar 8-11,50,Mar 2004
Bush,04 Mar 26-28,53,Mar 2004
Bush,04 Apr 5-8,52,Apr 2004
Bush,04 Apr 16-18,52,Apr 2004
Bush,04 May 2-4,49,May 2004
Bush,04 May 7-9,46,May 2004
Bush,04 May 21-23,47,May 2004
Bush,04 Jun 3-6,49,Jun 2004
Bush,04 Jun 21-23,48,Jun 2004
Bush,04 Jul 8-11,47,Jul 2004
Bush,04 Jul 19-21,49,Jul 2004
