President,Date,Approve,X.1
Bush,89 Jan 24-26,51,Jan 1989
Bush,89 Feb 28-Mar 2,63,Feb 1989
Bush,89 Mar 10-13,56,Mar 1989
Bush,89 Apr 10-16,58,Apr 1989
Bush,89 May 4-7,56,May 1989
Bush,89 May 15-18,63,May 1989
Bush,89 Jun 8-11,70,Jun 1989
Bush,89 Jul 6-9,66,Jul 1989
Bush,89 Aug 10-13,69,Aug 1989
Bush,89 Sep 7-10,70,Sep 1989
Bush,89 Oct 5-8,68,Oct 1989
Bush,89 Nov 2-5,70,Nov 1989
Bush,89 Dec 7-10,71,Dec 1989
Bush,90 Jan 4-7,80,Jan 1990
Bush,90 Feb 8-11,73,Feb 1990
Bush,90 Feb 15-18,73,Feb 1990
Bush,90 Mar 8-11,68,Mar 1990
Bush,90 Mar 15-18,74,Mar 1990
Bush,90 Apr 5-8,68,Apr 1990
Bush,90 Apr 19-22,67,Apr 1990
Bush,90 May 17-20,65,May 1990
Bush,90 Jun 7-10,67,Jun 1990
Bush,90 Jun 15-17,69,Jun 1990
Bush,90 Jul 6-8,63,Jul 1990
Bush,90 Jul 19-22,60,Jul 1990
Bush,90 Aug 9-12,74,Aug 1990
Bush,90 Aug 16-19,75,Aug 1990
Bush,90 Aug 23-26,76,Aug 1990
Bush,90 Aug 30-Sep 2,74,Aug 1990
Bush,90 Sep 10-11,76,Sep 1990
Bush,90 Sep 14-16,73,Sep 1990
Bush,90 Sep 27-30,67,Sep 1990
Bush,90 Oct 3-4,66,Oct 1990
Bush,90 Oct 11-14,56,Oct 1990
Bush,90 Oct 18-21,53,Oct 1990
Bush,90 Oct 25-28,54,Oct 1990
Bush,90 Nov 1-4,58,Nov 1990
Bush,90 Nov 8-11,58,Nov 1990
Bush,90 Nov 15-18,54,Nov 1990
Bush,90 Nov 29-Dec 2,61,Nov 1990
Bush,90 Dec 6-9,58,Dec 1990
Bush,90 Dec 13-16,63,Dec 1990
Bush,91 Jan 3-6,58,Jan 1991
Bush,91 Jan 11-13,64,Jan 1991
Bush,91 Jan 17-20,82,Jan 1991
Bush,91 Jan 19-22,80,Jan 1991
Bush,91 Jan 23-26,83,Jan 1991
Bush,91 Jan 30-Feb 2,82,Jan 1991
Bush,91 Feb 7-10,79,Feb 1991
Bush,91 Feb 14-17,80,Feb 1991
Bush,91 Feb 21-24,80,Feb 1991
Bush,91 Feb 28-Mar 3,89,Feb 1991
Bush,91 Mar 7-10,87,Mar 1991
Bush,91 Mar 14-17,86,Mar 1991
Bush,91 Mar 21-24,84,Mar 1991
Bush,91 Mar 28-30,82,Mar 1991
Bush,91 Apr 4-6,83,Apr 1991
Bush,91 Apr 11-14,77,Apr 1991
Bush,91 Apr 25-28,76,Apr 1991
Bush,91 May 2-5,74,May 1991
Bush,91 May 16-19,77,May 1991
Bush,91 May 23-26,76,May 1991
Bush,91 May 30-Jun 2,74,May 1991
Bush,91 Jun 13-16,71,Jun 1991
Bush,91 Jun 27-30,72,Jun 1991
Bush,91 Jul 11-14,72,Jul 1991
Bush,91 Jul 18-21,70,Jul 1991
Bush,91 Jul 25-28,71,Jul 1991
Bush,91 Aug 8-11,71,Aug 1991
Bush,91 Aug 23-25,74,Aug 1991
Bush,91 Aug 29-Sep 3,69,Aug 1991
Bush,91 Sep 5-8,70,Sep 1991
Bush,91 Sep 13-15,68,Sep 1991
Bush,91 Sep 26-29,66,Sep 1991
Bush,91 Oct 3-6,65,Oct 1991
Bush,91 Oct 10-13,66,Oct 1991
Bush,91 Oct 17-20,66,Oct 1991
Bush,91 Oct 24-27,62,Oct 1991
Bush,91 Oct 31-Nov 3,59,Oct 1991
Bush,91 Nov 7-10,56,Nov 1991
Bush,91 Nov 14-17,56,Nov 1991
Bush,91 Nov 21-24,52,Nov 1991
Bush,91 Dec 5-8,52,Dec 1991
Bush,91 Dec 12-15,50,Dec 1991
Bush,92 Jan 3-6,46,Jan 1992
Bush,92 Jan 16-19,46,Jan 1992
Bush,92 Jan 31-Feb 2,47,Jan 1992
Bush,92 Feb 6-9,44,Feb 1992
Bush,92 Feb 19-20,39,Feb 1992
Bush,92 Feb 28-Mar 1,41,Feb 1992
Bush,92 Mar 11-12,41,Mar 1992
Bush,92 Mar 20-22,41,Mar 1992
Bush,92 Mar 26-29,42,Mar 1992
Bush,92 Apr 9-12,39,Apr 1992
Bush,92 Apr 20-22,42,Apr 1992
Bush,92 May 7-10,40,May 1992
Bush,92 May 18-20,41,May 1992
Bush,92 Jun 4-7,37,Jun 1992
Bush,92 Jun 12-14,37,Jun 1992
Bush,92 Jun 26-30,38,Jun 1992
Bush,92 Jul 24-26,32,Jul 1992
Bush,92 Jul 31-Aug 2,29,Jul 1992
Bush,92 Aug 10-12,35,Aug 1992
Bush,92 Aug 21-22,40,Aug 1992
Bush,92 Aug 31-Sep 2,39,Aug 1992
Bush,92 Sep 11-15,39,Sep 1992
Bush,92 Sep 17-20,36,Sep 1992
Bush,92 Oct 1-3,33,Oct 1992
Bush,92 Oct 13-15,34,Oct 1992
Bush,92 Nov 20-22,43,Nov 1992
Bush,92 Dec 4-6,49,Dec 1992
Bush,92 Dec 18-20,49,Dec 1992
Bush,93 Jan 8-11,56,Jan 1993
