President,Date,Approve
Obama,"Jun 3, 2013",48
Obama,"May 27, 2013",48
Obama,"May 20, 2013",49
Obama,"May 13, 2013",49
Obama,"May 6, 2013",49
Obama,"Apr 29, 2013",50
Obama,"Apr 22, 2013",51
Obama,"Apr 15, 2013",50
Obama,"Apr 8, 2013",49
Obama,"Apr 1, 2013",48
Obama,"Mar 25, 2013",48
Obama,"Mar 18, 2013",47
Obama,"Mar 11, 2013",48
Obama,"Mar 4, 2013",49
Obama,"Feb 25, 2013",49
Obama,"Feb 18, 2013",51
Obama,"Feb 11, 2013",51
Obama,"Feb 4, 2013",52
Obama,"Jan 28, 2013",53
Obama,"Jan 21, 2013",52
Obama,"Jan 14, 2013",50
Obama,"Jan 7, 2013",54
Obama,"Dec 31, 2012",53
Obama,"Dec 24, 2012",53
Obama,"Dec 17, 2012",57
Obama,"Dec 10, 2012",52
Obama,"Dec 3, 2012",50
Obama,"Nov 26, 2012",51
Obama,"Nov 19, 2012",52
Obama,"Nov 12, 2012",53
Obama,"Nov 5, 2012",51
Obama,"Oct 29, 2012",52
Obama,"Oct 22, 2012",50
Obama,"Oct 15, 2012",50
Obama,"Oct 8, 2012",50
Obama,"Oct 1, 2012",52
Obama,"Sep 24, 2012",48
Obama,"Sep 17, 2012",49
Obama,"Sep 10, 2012",50
Obama,"Sep 3, 2012",50
Obama,"Aug 27, 2012",44
Obama,"Aug 20, 2012",46
Obama,"Aug 13, 2012",45
Obama,"Aug 6, 2012",45
Obama,"Jul 30, 2012",45
Obama,"Jul 23, 2012",47
Obama,"Jul 16, 2012",45
Obama,"Jul 9, 2012",46
Obama,"Jul 2, 2012",45
Obama,"Jun 25, 2012",47
Obama,"Jun 18, 2012",46
Obama,"Jun 11, 2012",46
Obama,"Jun 4, 2012",47
Obama,"May 28, 2012",46
Obama,"May 21, 2012",48
Obama,"May 14, 2012",47
Obama,"May 7, 2012",47
Obama,"Apr 30, 2012",48
Obama,"Apr 23, 2012",48
