President,Date,Approve,X.1
Kennedy,61 Feb 10-15,72,Feb 1961
Kennedy,61 Mar 10-15,73,Mar 1961
Kennedy,61 Apr 6-11,78,Apr 1961
Kennedy,61 Apr 28-May 3,83,Apr 1961
Kennedy,61 May 4-9,77,May 1961
Kennedy,61 May 17-22,75,May 1961
Kennedy,61 May 28-Jun 2,74,May 1961
Kennedy,61 Jun 23-28,72,Jun 1961
Kennedy,61 Jul 27-Aug 1,75,Jul 1961
Kennedy,61 Aug 24-29,76,Aug 1961
Kennedy,61 Sep 21-26,79,Sep 1961
Kennedy,61 Oct 19-24,77,Oct 1961
Kennedy,61 Nov 17-22,79,Nov 1961
Kennedy,61 Dec 7-12,77,Dec 1961
Kennedy,62 Jan 11-16,79,Jan 1962
Kennedy,62 Feb 8-13,78,Feb 1962
Kennedy,62 Mar 8-13,79,Mar 1962
Kennedy,62 Apr 6-11,77,Apr 1962
Kennedy,62 May 3-8,74,May 1962
Kennedy,62 May 31-Jun 5,71,May 1962
Kennedy,62 Jun 28-Jul 3,69,Jun 1962
Kennedy,62 Jul 26-31,66,Jul 1962
Kennedy,62 Aug 23-28,67,Aug 1962
Kennedy,62 Sep 20-25,63,Sep 1962
Kennedy,62 Oct 19-24,61,Oct 1962
Kennedy,62 Nov 16-21,74,Nov 1962
Kennedy,62 Dec 13-18,76,Dec 1962
Kennedy,63 Jan 11-16,74,Jan 1963
Kennedy,63 Feb 7-12,70,Feb 1963
Kennedy,63 Mar 8-13,67,Mar 1963
Kennedy,63 Apr 4-9,66,Apr 1963
Kennedy,63 May 2-7,64,May 1963
Kennedy,63 May 8-13,65,May 1963
Kennedy,63 May 23-28,64,May 1963
Kennedy,63 Jun 21-26,61,Jun 1963
Kennedy,63 Jul 18-23,61,Jul 1963
Kennedy,63 Aug 15-20,62,Aug 1963
Kennedy,63 Sep 12-17,56,Sep 1963
Kennedy,63 Oct 11-16,58,Oct 1963
Kennedy,63 Nov 8-13,58,Nov 1963
