President,Date,Approve,X.1
Truman,45 Jun 1-5,87,Jun 1945
Truman,45 Oct 5-10,82,Oct 1945
Truman,45 Nov 2-7,75,Nov 1945
Truman,46 Jan 5-10,63,Jan 1946
Truman,46 Feb 28-Mar 5,49,Feb 1946
Truman,46 Mar 29-Apr 3,51,Mar 1946
Truman,46 Jun 1-6,45,Jun 1946
Truman,46 Jun 14-19,43,Jun 1946
Truman,46 Sep 13-18,33,Sep 1946
Truman,46 Nov 15-21,34,Nov 1946
Truman,46 Dec 13-18,35,Dec 1946
Truman,47 Jan 17-22,48,Jan 1947
Truman,47 Mar 14-19,60,Mar 1947
Truman,47 Mar 28-Apr 2,63,Mar 1947
Truman,47 Apr 25-30,57,Apr 1947
Truman,47 May 23-28,65,May 1947
Truman,47 Jun 20-25,55,Jun 1947
Truman,47 Jul 4-9,61,Jul 1947
Truman,47 Sep 12-17,55,Sep 1947
Truman,47 Nov 28-Dec 2,54,Nov 1947
Truman,48 Jan 2-7,53,Jan 1948
Truman,48 Apr 9-14,36,Apr 1948
Truman,48 May 28-Jun 2,39,May 1948
Truman,48 Jun 18-24,40,Jun 1948
Truman,49 Jan 7-12,69,Jan 1949
Truman,49 Mar 6-11,57,Mar 1949
Truman,49 May 2-8,51,May 1949
Truman,49 Jun 11-17,57,Jun 1949
Truman,49 Sep 3-8,45,Sep 1949
Truman,49 Sep 25-30,51,Sep 1949
Truman,49 Sep 28-Oct 2,50,Sep 1949
Truman,50 Jan 8-13,45,Jan 1950
Truman,50 Feb 26-Mar 3,37,Feb 1950
Truman,50 May 4-9,41,May 1950
Truman,50 Jun 4-9,37,Jun 1950
Truman,50 Jul 9-14,46,Jul 1950
Truman,50 Jul 30-Aug 4,39,Jul 1950
Truman,50 Aug 20-25,43,Aug 1950
Truman,50 Sep 17-22,35,Sep 1950
Truman,50 Oct 1-6,35,Oct 1950
Truman,50 Oct 8-13,43,Oct 1950
Truman,50 Oct 20-25,41,Oct 1950
Truman,50 Oct 22-27,39,Oct 1950
Truman,50 Dec 3-8,33,Dec 1950
Truman,51 Jan 1-5,36,Jan 1951
Truman,51 Feb 4-9,26,Feb 1951
Truman,51 Mar 4-9,27,Mar 1951
Truman,51 Mar 26-31,28,Mar 1951
Truman,51 Apr 16-21,24,Apr 1951
Truman,51 May 19-24,24,May 1951
Truman,51 Jun 16-21,25,Jun 1951
Truman,51 Jul 8-13,29,Jul 1951
Truman,51 Aug 3-8,31,Aug 1951
Truman,51 Sep 21-26,32,Sep 1951
Truman,51 Oct 14-19,29,Oct 1951
Truman,51 Nov 11-16,23,Nov 1951
Truman,52 Jan 6-11,23,Jan 1952
Truman,52 Jan 20-25,25,Jan 1952
Truman,52 Feb 9-14,22,Feb 1952
Truman,52 Apr 13-18,28,Apr 1952
Truman,52 May 11-16,27,May 1952
Truman,52 May 30-Jun 4,31,May 1952
Truman,52 Jun 15-20,32,Jun 1952
Truman,52 Jul 13-18,29,Jul 1952
Truman,52 Oct 3-8,33,Oct 1952
Truman,52 Oct 5-10,31,Oct 1952
Truman,52 Oct 9-14,32,Oct 1952
Truman,52 Dec 11-16,32,Dec 1952
