President,Date,Approve,X.1
Carter,77 Feb 4-7,66,Feb 1977
Carter,77 Feb 18-21,71,Feb 1977
Carter,77 Mar 4-7,70,Mar 1977
Carter,77 Mar 18-21,75,Mar 1977
Carter,77 Mar 25-28,72,Mar 1977
Carter,77 Apr 1-4,67,Apr 1977
Carter,77 Apr 15-18,63,Apr 1977
Carter,77 Apr 29-May 2,63,Apr 1977
Carter,77 May 6-9,66,May 1977
Carter,77 May 20-23,64,May 1977
Carter,77 Jun 3-6,63,Jun 1977
Carter,77 Jun 17-20,63,Jun 1977
Carter,77 Jul 8-11,62,Jul 1977
Carter,77 Jul 22-25,67,Jul 1977
Carter,77 Aug 5-8,60,Aug 1977
Carter,77 Aug 19-22,66,Aug 1977
Carter,77 Sep 9-12,54,Sep 1977
Carter,77 Sep 30-Oct 3,59,Sep 1977
Carter,77 Oct 14-17,55,Oct 1977
Carter,77 Oct 21-24,54,Oct 1977
Carter,77 Oct 28-31,51,Oct 1977
Carter,77 Nov 4-7,55,Nov 1977
Carter,77 Nov 18-21,56,Nov 1977
Carter,77 Dec 9-12,57,Dec 1977
Carter,78 Jan 6-9,55,Jan 1978
Carter,78 Jan 20-23,52,Jan 1978
Carter,78 Feb 11-14,47,Feb 1978
Carter,78 Feb 24-27,50,Feb 1978
Carter,78 Mar 2-5,49,Mar 1978
Carter,78 Mar 10-13,50,Mar 1978
Carter,78 Mar 31-Apr 3,48,Mar 1978
Carter,78 Apr 14-17,40,Apr 1978
Carter,78 Apr 28-May 1,41,Apr 1978
Carter,78 May 5-8,41,May 1978
Carter,78 May 19-22,43,May 1978
Carter,78 Jun 2-5,44,Jun 1978
Carter,78 Jun 16-19,42,Jun 1978
Carter,78 Jul 8-10,40,Jul 1978
Carter,78 Jul 21-24,39,Jul 1978
Carter,78 Aug 4-7,39,Aug 1978
Carter,78 Aug 11-14,40,Aug 1978
Carter,78 Aug 18-21,43,Aug 1978
Carter,78 Sep 8-11,42,Sep 1978
Carter,78 Sep 15-18,45,Sep 1978
Carter,78 Sep 22-25,48,Sep 1978
Carter,78 Oct 27-30,49,Oct 1978
Carter,78 Nov 10-13,52,Nov 1978
Carter,78 Dec 1-4,50,Dec 1978
Carter,78 Dec 8-11,51,Dec 1978
Carter,79 Jan 5-8,50,Jan 1979
Carter,79 Jan 19-22,43,Jan 1979
Carter,79 Feb 2-5,42,Feb 1979
Carter,79 Feb 23-26,37,Feb 1979
Carter,79 Mar 2-5,39,Mar 1979
Carter,79 Mar 16-19,47,Mar 1979
Carter,79 Mar 23-31,42,Mar 1979
Carter,79 Apr 6-9,40,Apr 1979
Carter,79 May 4-7,37,May 1979
Carter,79 May 18-21,32,May 1979
Carter,79 Jun 1-4,29,Jun 1979
Carter,79 Jun 22-25,29,Jun 1979
Carter,79 Jun 29-Jul 2,28,Jun 1979
Carter,79 Jul 13-16,29,Jul 1979
Carter,79 Aug 3-6,32,Aug 1979
Carter,79 Aug 10-13,33,Aug 1979
Carter,79 Aug 17-20,32,Aug 1979
Carter,79 Sep 7-10,30,Sep 1979
Carter,79 Sep 28-Oct 1,33,Sep 1979
Carter,79 Oct 5-8,29,Oct 1979
Carter,79 Oct 12-15,31,Oct 1979
Carter,79 Nov 2-5,32,Nov 1979
Carter,79 Nov 16-19,38,Nov 1979
Carter,79 Nov 30-Dec 3,51,Nov 1979
Carter,79 Dec 7-10,54,Dec 1979
Carter,80 Jan 5-8,56,Jan 1980
Carter,80 Jan 25-28,58,Jan 1980
Carter,80 Feb 1-4,55,Feb 1980
Carter,80 Feb 29-Mar 3,52,Feb 1980
Carter,80 Mar 7-10,43,Mar 1980
Carter,80 Mar 27-30,39,Mar 1980
Carter,80 Apr 11-14,39,Apr 1980
Carter,80 May 2-5,43,May 1980
Carter,80 May 16-19,38,May 1980
Carter,80 May 30-Jun 2,38,May 1980
Carter,80 Jun 13-16,32,Jun 1980
Carter,80 Jun 27-30,31,Jun 1980
Carter,80 Jul 11-14,33,Jul 1980
Carter,80 Aug 15-18,32,Aug 1980
Carter,80 Sep 12-15,37,Sep 1980
Carter,80 Nov 21-24,31,Nov 1980
Carter,80 Dec 5-8,34,Dec 1980
