President,Date,Approve,X.1
Johnson,63 Dec 5-10,78,Dec 1963
Johnson,63 Dec 12-17,74,Dec 1963
Johnson,64 Jan 2-7,77,Jan 1964
Johnson,64 Jan 30-Feb 5,76,Jan 1964
Johnson,64 Feb 13-18,73,Feb 1964
Johnson,64 Feb 28-Mar 4,79,Feb 1964
Johnson,64 Mar 13-18,77,Mar 1964
Johnson,64 Mar 27-Apr 1,75,Mar 1964
Johnson,64 Apr 24-29,75,Apr 1964
Johnson,64 May 6-11,75,May 1964
Johnson,64 May 22-27,74,May 1964
Johnson,64 Jun 4-9,74,Jun 1964
Johnson,64 Jun 11-16,74,Jun 1964
Johnson,64 Jun 25-30,74,Jun 1964
Johnson,64 Nov 20-25,70,Nov 1964
Johnson,64 Dec 11-16,69,Dec 1964
Johnson,65 Jan 7-12,71,Jan 1965
Johnson,65 Jan 28-Feb 2,70,Jan 1965
Johnson,65 Feb 19-24,68,Feb 1965
Johnson,65 Mar 11-16,68,Mar 1965
Johnson,65 Mar 18-23,69,Mar 1965
Johnson,65 Apr 2-7,67,Apr 1965
Johnson,65 Apr 23-28,64,Apr 1965
Johnson,65 May 13-18,70,May 1965
Johnson,65 Jun 4-9,69,Jun 1965
Johnson,65 Jun 24-29,65,Jun 1965
Johnson,65 Jul 16-21,65,Jul 1965
Johnson,65 Aug 5-10,65,Aug 1965
Johnson,65 Aug 27-Sep 1,64,Aug 1965
Johnson,65 Sep 16-21,63,Sep 1965
Johnson,65 Oct 8-13,66,Oct 1965
Johnson,65 Oct 29-Nov 2,65,Oct 1965
Johnson,65 Nov 18-23,62,Nov 1965
Johnson,65 Dec 11-16,63,Dec 1965
Johnson,65 Dec 31-Jan 5,59,Dec 1965
Johnson,66 Jan 21-26,61,Jan 1966
Johnson,66 Feb 10-15,56,Feb 1966
Johnson,66 Mar 3-8,58,Mar 1966
Johnson,66 Mar 24-29,57,Mar 1966
Johnson,66 Apr 14-19,54,Apr 1966
Johnson,66 May 5-10,46,May 1966
Johnson,66 May 19-24,50,May 1966
Johnson,66 Jun 16-21,48,Jun 1966
Johnson,66 Jul 8-13,56,Jul 1966
Johnson,66 Jul 29-Aug 3,51,Jul 1966
Johnson,66 Aug 18-23,47,Aug 1966
Johnson,66 Sep 8-13,46,Sep 1966
Johnson,66 Oct 1-6,44,Oct 1966
Johnson,66 Oct 21-26,44,Oct 1966
Johnson,66 Nov 10-15,49,Nov 1966
Johnson,66 Dec 8-13,44,Dec 1966
Johnson,67 Jan 7-12,47,Jan 1967
Johnson,67 Jan 26-31,46,Jan 1967
Johnson,67 Feb 16-21,45,Feb 1967
Johnson,67 Mar 9-14,45,Mar 1967
Johnson,67 Mar 30-Apr 4,46,Mar 1967
Johnson,67 Apr 19-24,48,Apr 1967
Johnson,67 May 11-16,45,May 1967
Johnson,67 Jun 2-7,44,Jun 1967
Johnson,67 Jun 22-27,51,Jun 1967
Johnson,67 Jul 13-18,47,Jul 1967
Johnson,67 Aug 3-8,40,Aug 1967
Johnson,67 Aug 24-29,39,Aug 1967
Johnson,67 Sep 14-19,38,Sep 1967
Johnson,67 Oct 6-11,38,Oct 1967
Johnson,67 Oct 27-Nov 1,41,Oct 1967
Johnson,67 Nov 16-21,42,Nov 1967
Johnson,67 Dec 7-12,46,Dec 1967
Johnson,68 Jan 4-9,48,Jan 1968
Johnson,68 Feb 2-7,41,Feb 1968
Johnson,68 Feb 22-27,41,Feb 1968
Johnson,68 Mar 10-15,36,Mar 1968
Johnson,68 Apr 4-9,50,Apr 1968
Johnson,68 May 2-7,46,May 1968
Johnson,68 May 23-28,41,May 1968
Johnson,68 Jun 13-18,42,Jun 1968
Johnson,68 Jun 26-Jul 1,40,Jun 1968
Johnson,68 Jul 18-23,40,Jul 1968
Johnson,68 Aug 7-12,35,Aug 1968
Johnson,68 Sep 19-24,42,Sep 1968
Johnson,68 Nov 9-14,43,Nov 1968
Johnson,68 Dec 5-10,44,Dec 1968
Johnson,69 Jan 1-6,49,Jan 1969
